Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Stats Total Sequence Length	Assembly Level	Assembly Submission Date	WGS project accession	Annotation Count Gene Protein-coding
GCF_016877095.1	ASM1687709v1	Vibrio parahaemolyticus		INSP0026					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5003464	Contig	2021-02-11	JACBSN01	4399
GCF_016877115.1	ASM1687711v1	Vibrio parahaemolyticus		INST008110					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5024395	Contig	2021-02-11	JACBSP01	4516
GCF_016877135.1	ASM1687713v1	Vibrio parahaemolyticus		INST008109					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4945751	Contig	2021-02-11	JACBSQ01	4443
GCF_016877155.1	ASM1687715v1	Vibrio parahaemolyticus		INST00671					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5042584	Contig	2021-02-11	JACBSR01	4555
GCF_016877175.1	ASM1687717v1	Vibrio parahaemolyticus		INSP00559					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4984485	Contig	2021-02-11	JACBST01	4522
GCF_016877195.1	ASM1687719v1	Vibrio parahaemolyticus		INSP00561					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4978401	Contig	2021-02-11	JACBSS01	4520
GCF_016877215.1	ASM1687721v1	Vibrio parahaemolyticus		INSP00556					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5009104	Contig	2021-02-11	JACBSU01	4490
GCF_016877235.1	ASM1687723v1	Vibrio parahaemolyticus		INSP00223					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5207874	Contig	2021-02-11	JACBSW01	4665
GCF_016877255.1	ASM1687725v1	Vibrio parahaemolyticus		INSP00224					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5184837	Contig	2021-02-11	JACBSV01	4643
GCF_016877265.1	ASM1687726v1	Vibrio parahaemolyticus		INSP00222					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4980974	Contig	2021-02-11	JACBSX01	4516
GCF_016877295.1	ASM1687729v1	Vibrio parahaemolyticus		INSP0011					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5185421	Contig	2021-02-11	JACBSZ01	4642
GCF_016877315.1	ASM1687731v1	Vibrio parahaemolyticus		INSP0021					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5011341	Contig	2021-02-11	JACBSY01	4579
GCF_016877335.1	ASM1687733v1	Vibrio parahaemolyticus		INS3T403A17					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4947524	Contig	2021-02-11	JACBTA01	4494
GCF_016877355.1	ASM1687735v1	Vibrio parahaemolyticus		254-16					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5136129	Contig	2021-02-11	JACBTB01	4594
GCF_016877375.1	ASM1687737v1	Vibrio parahaemolyticus		256-16					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5134893	Contig	2021-02-11	JACBTC01	4605
GCF_016877395.1	ASM1687739v1	Vibrio parahaemolyticus		INS3T395A17					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5174977	Contig	2021-02-11	JACBTD01	4673
GCF_016877415.1	ASM1687741v1	Vibrio parahaemolyticus		H1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5119600	Contig	2021-02-11	JACBTF01	4553
GCF_016877435.1	ASM1687743v1	Vibrio parahaemolyticus		260-16					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5248981	Contig	2021-02-11	JACBTE01	4762
GCF_016877455.1	ASM1687745v1	Vibrio parahaemolyticus		271-16					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5090819	Contig	2021-02-11	JACBTG01	4490
GCF_016877475.1	ASM1687747v1	Vibrio parahaemolyticus		INSP00112					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5082112	Contig	2021-02-11	JACBTH01	4566
GCF_016877495.1	ASM1687749v1	Vibrio parahaemolyticus		INS3_40517					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5037301	Contig	2021-02-11	JACBTI01	4465
GCF_016877515.1	ASM1687751v1	Vibrio parahaemolyticus		3276-16					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5124596	Contig	2021-02-11	JACDZL01	4587
GCF_016877535.1	ASM1687753v1	Vibrio parahaemolyticus		111-16					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5125093	Contig	2021-02-11	JACBTJ01	4583
GCF_016877545.1	ASM1687754v1	Vibrio parahaemolyticus		275-16					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5090798	Contig	2021-02-11	JACBTK01	4551
GCF_016877575.1	ASM1687757v1	Vibrio parahaemolyticus		281-16					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5073824	Contig	2021-02-11	JACBTL01	4562
GCF_016877595.1	ASM1687759v1	Vibrio parahaemolyticus		252-16					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5188239	Contig	2021-02-11	JACBTN01	4672
GCF_016877605.1	ASM1687760v1	Vibrio parahaemolyticus		H12					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5160969	Contig	2021-02-11	JACBTO01	4586
GCF_016877615.1	ASM1687761v1	Vibrio parahaemolyticus		210-16					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5222501	Contig	2021-02-11	JACBTM01	4679
GCF_016877655.1	ASM1687765v1	Vibrio parahaemolyticus		G8					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5393115	Contig	2021-02-11	JACDZM01	4866
GCF_016877675.1	ASM1687767v1	Vibrio parahaemolyticus		165-16					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5115284	Contig	2021-02-11	JACBTP01	4535
GCF_016877695.1	ASM1687769v1	Vibrio parahaemolyticus		H8					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5077159	Contig	2021-02-11	JACBTR01	4551
GCF_016877715.1	ASM1687771v1	Vibrio parahaemolyticus		167-16					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5238650	Contig	2021-02-11	JACBTQ01	4676
GCF_016877735.1	ASM1687773v1	Vibrio parahaemolyticus		305-15					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5047992	Contig	2021-02-11	JACBTS01	4527
GCF_016877755.1	ASM1687775v1	Vibrio parahaemolyticus		H2					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5274755	Contig	2021-02-11	JACBTT01	4763
GCF_016877775.1	ASM1687777v1	Vibrio parahaemolyticus		302-15					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5267551	Contig	2021-02-11	JACBTU01	4789
GCF_016877795.1	ASM1687779v1	Vibrio parahaemolyticus		306-15					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5226088	Contig	2021-02-11	JACBTW01	4763
GCF_016877805.1	ASM1687780v1	Vibrio parahaemolyticus		3264-15					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5177911	Contig	2021-02-11	JACBTV01	4635
GCF_016877835.1	ASM1687783v1	Vibrio parahaemolyticus		3370-15					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4994848	Contig	2021-02-11	JACDZN01	4453
GCF_016877855.1	ASM1687785v1	Vibrio parahaemolyticus		371-15					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4969992	Contig	2021-02-11	JACBTX01	4448
GCF_016877875.1	ASM1687787v1	Vibrio parahaemolyticus		373-15					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4973507	Contig	2021-02-11	JACBTY01	4455
GCF_016877895.1	ASM1687789v1	Vibrio parahaemolyticus		166-15					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5180380	Contig	2021-02-11	JACBUB01	4633
GCF_016877915.1	ASM1687791v1	Vibrio parahaemolyticus		H5					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5352082	Contig	2021-02-11	JACBUA01	4737
GCF_016877935.1	ASM1687793v1	Vibrio parahaemolyticus		368-15					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4967968	Contig	2021-02-11	JACBTZ01	4445
GCF_016877955.1	ASM1687795v1	Vibrio parahaemolyticus		416-15					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5244373	Contig	2021-02-11	JACBUC01	4708
GCF_016877975.1	ASM1687797v1	Vibrio parahaemolyticus		369-15					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5228452	Contig	2021-02-11	JACBUF01	4671
GCF_016877995.1	ASM1687799v1	Vibrio parahaemolyticus		H11					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5271308	Contig	2021-02-11	JACBUG01	4710
GCF_016878015.1	ASM1687801v1	Vibrio parahaemolyticus		G10					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5240560	Contig	2021-02-11	JACBUE01	4695
GCF_016878035.1	ASM1687803v1	Vibrio parahaemolyticus		H6					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5243568	Contig	2021-02-11	JACBUD01	4709
GCF_016878055.1	ASM1687805v1	Vibrio parahaemolyticus		G6					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5333373	Contig	2021-02-11	JACBUH01	4763
GCF_016878075.1	ASM1687807v1	Vibrio parahaemolyticus		277-15					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5260434	Contig	2021-02-11	JACBUI01	4712
GCF_016878095.1	ASM1687809v1	Vibrio parahaemolyticus		005-13					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5065587	Contig	2021-02-11	JACBUM01	4521
GCF_016878105.1	ASM1687810v1	Vibrio parahaemolyticus		024-14					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5132117	Contig	2021-02-11	JACBUJ01	4495
GCF_016878135.1	ASM1687813v1	Vibrio parahaemolyticus		1835-14					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5172706	Contig	2021-02-11	JACBUK01	4599
GCF_016878155.1	ASM1687815v1	Vibrio parahaemolyticus		582-14					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5527246	Contig	2021-02-11	JACBUL01	4987
GCF_016878175.1	ASM1687817v1	Vibrio parahaemolyticus		181-11					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4947131	Contig	2021-02-11	JACBUN01	4462
GCF_016878195.1	ASM1687819v1	Vibrio parahaemolyticus		326-11					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5128881	Contig	2021-02-11	JACBUP01	4500
GCF_016878215.1	ASM1687821v1	Vibrio parahaemolyticus		1218-11					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5206821	Contig	2021-02-11	JACBUQ01	4617
GCF_016878235.1	ASM1687823v1	Vibrio parahaemolyticus		1021-11					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5152045	Contig	2021-02-11	JACBUO01	4500
GCF_016878255.1	ASM1687825v1	Vibrio parahaemolyticus		107-10					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5287380	Contig	2021-02-11	JACBUR01	4740
GCF_016878275.1	ASM1687827v1	Vibrio parahaemolyticus		223-10					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5173591	Contig	2021-02-11	JACBUS01	4615
GCF_016878295.1	ASM1687829v1	Vibrio parahaemolyticus		119-10					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5169782	Contig	2021-02-11	JACBUT01	4593
GCF_016878315.1	ASM1687831v1	Vibrio parahaemolyticus		454-10					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5168836	Contig	2021-02-11	JACBUU01	4597
GCF_016878325.1	ASM1687832v1	Vibrio parahaemolyticus		361-10					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5096580	Contig	2021-02-11	JACBUV01	4525
GCF_016878355.1	ASM1687835v1	Vibrio parahaemolyticus		092-10					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5168389	Contig	2021-02-11	JACBUW01	4585
GCF_016878375.1	ASM1687837v1	Vibrio parahaemolyticus		202-10					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5094730	Contig	2021-02-11	JACBUX01	4515
GCF_016878395.1	ASM1687839v1	Vibrio parahaemolyticus		304-10					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5165450	Contig	2021-02-11	JACBUZ01	4592
GCF_016878405.1	ASM1687840v1	Vibrio parahaemolyticus		293-10					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5099560	Contig	2021-02-11	JACBUY01	4522
GCF_016878435.1	ASM1687843v1	Vibrio parahaemolyticus		203-10					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5099091	Contig	2021-02-11	JACBVB01	4524
GCF_016878455.1	ASM1687845v1	Vibrio parahaemolyticus		091-10					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5175162	Contig	2021-02-11	JACBVA01	4599
GCF_016878475.1	ASM1687847v1	Vibrio parahaemolyticus		1214-09					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5047278	Contig	2021-02-11	JACBVC01	4468
GCF_016878495.1	ASM1687849v1	Vibrio parahaemolyticus		576-09					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5158626	Contig	2021-02-11	JACBVD01	4514
GCF_016878515.1	ASM1687851v1	Vibrio parahaemolyticus		242-09					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5128566	Contig	2021-02-11	JACBVE01	4501
GCF_016878535.1	ASM1687853v1	Vibrio parahaemolyticus		222-09					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5221305	Contig	2021-02-11	JACBVF01	4622
GCF_016878555.1	ASM1687855v1	Vibrio parahaemolyticus		238-09					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5130724	Contig	2021-02-11	JACBVH01	4499
GCF_016878565.1	ASM1687856v1	Vibrio parahaemolyticus		221-09					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5180661	Contig	2021-02-11	JACBVG01	4560
GCF_016878595.1	ASM1687859v1	Vibrio parahaemolyticus		227-09					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5220433	Contig	2021-02-11	JACBVI01	4618
GCF_016878615.1	ASM1687861v1	Vibrio parahaemolyticus		223-09					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5127305	Contig	2021-02-11	JACBVJ01	4495
GCF_016878635.1	ASM1687863v1	Vibrio parahaemolyticus		260-09					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5127365	Contig	2021-02-11	JACBVK01	4498
GCF_016878655.1	ASM1687865v1	Vibrio parahaemolyticus		225-09					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5132236	Contig	2021-02-11	JACBVL01	4502
GCF_016878665.1	ASM1687866v1	Vibrio parahaemolyticus		1261-07					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5024846	Contig	2021-02-11	JACBVN01	4453
GCF_016878675.1	ASM1687867v1	Vibrio parahaemolyticus		243-09					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5175993	Contig	2021-02-11	JACBVM01	4590
GCF_016878715.1	ASM1687871v1	Vibrio parahaemolyticus		1254-07					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5110095	Contig	2021-02-11	JACBVO01	4510
GCF_016878735.1	ASM1687873v1	Vibrio parahaemolyticus		1259-07					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5082137	Contig	2021-02-11	JACBVQ01	4492
GCF_016879955.1	ASM1687995v1	Vibrio parahaemolyticus		1260-07					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5159908	Contig	2021-02-11	JACBVP01	4577
GCF_016879975.1	ASM1687997v1	Vibrio parahaemolyticus		242-02					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5137014	Contig	2021-02-11	JACBVS01	4510
GCF_016879995.1	ASM1687999v1	Vibrio parahaemolyticus		1286-06					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5118185	Contig	2021-02-11	JACBVR01	4546
GCF_016880015.1	ASM1688001v1	Vibrio parahaemolyticus		2568-00					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5127271	Contig	2021-02-11	JACBVT01	4551
GCF_016880035.1	ASM1688003v1	Vibrio parahaemolyticus		1027-00					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5195821	Contig	2021-02-11	JACBVV01	4594
GCF_016880045.1	ASM1688004v1	Vibrio parahaemolyticus		325-00					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5171428	Contig	2021-02-11	JACBVY01	4576
GCF_016880075.1	ASM1688007v1	Vibrio parahaemolyticus		403-00					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5097932	Contig	2021-02-11	JACBVX01	4521
GCF_016880085.1	ASM1688008v1	Vibrio parahaemolyticus		327-00					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5171777	Contig	2021-02-11	JACBVW01	4576
GCF_016880115.1	ASM1688011v1	Vibrio parahaemolyticus		2434-00					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5244838	Contig	2021-02-11	JACBVU01	4656
GCF_016880135.1	ASM1688013v1	Vibrio parahaemolyticus		706-00					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5217527	Contig	2021-02-11	JACBVZ01	4626
GCF_016880155.1	ASM1688015v1	Vibrio parahaemolyticus		404-00					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5154819	Contig	2021-02-11	JACBWA01	4586
GCF_016900875.1	ASM1690087v1	Vibrio ulleungensis		188UL20-2					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4380046	Scaffold	2021-02-16	JAFEUM01	3812
GCF_016920955.1	ASM1692095v1	Vibrio sp. sp1		sp1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5180039	Complete Genome	2021-02-23		4494
GCF_016937625.1	ASM1693762v1	Vibrio alginolyticus		AP-1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5057045	Scaffold	2021-02-24	JAFHDS01	4398
GCF_017051655.1	ASM1705165v1	Vibrio neptunius		PP-313					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5273268	Contig	2021-02-27	JAFHLF01	4648
GCF_017051735.1	ASM1705173v1	Vibrio neptunius		PP-145.98					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5275089	Contig	2021-02-27	JAFHLB01	4643
GCF_017051755.1	ASM1705175v1	Vibrio neptunius		PP-259					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5147033	Contig	2021-02-27	JAFHLD01	4538
GCF_017051775.1	ASM1705177v1	Vibrio neptunius		PP-256					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5276515	Contig	2021-02-27	JAFHLC01	4649
GCF_017051795.1	ASM1705179v1	Vibrio neptunius		PP-307					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5276531	Contig	2021-02-27	JAFHLE01	4659
GCF_017161465.1	ASM1716146v1	Vibrio alginolyticus		E06333					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5114391	Chromosome	2021-03-03		4535
GCF_017169515.1	ASM1716951v1	Vibrio paracholerae		EDC-717					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3816803	Contig	2021-03-05	WYBY01	3237
GCF_017169525.1	ASM1716952v1	Vibrio paracholerae		EDC-792					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3805611	Contig	2021-03-05	WYCC01	3245
GCF_017169545.1	ASM1716954v1	Vibrio paracholerae		EDC-716					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3813989	Contig	2021-03-05	WYBZ01	3241
GCF_017290195.1	ASM1729019v1	Vibrio vulnificus		Vv1462					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5130550	Contig	2021-03-07	JAFKOR01	4489
GCF_017290475.1	ASM1729047v1	Vibrio vulnificus		Vv1582					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5215436	Contig	2021-03-07	JAFKOQ01	4590
GCF_017290495.1	ASM1729049v1	Vibrio vulnificus		VvC1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5058018	Contig	2021-03-07	JAFKOP01	4474
GCF_017290675.1	ASM1729067v1	Vibrio vulnificus		Vv26					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5085439	Contig	2021-03-07	JAFKOS01	4475
GCF_017290755.1	ASM1729075v1	Vibrio vulnificus		Vv23					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5210833	Contig	2021-03-07	JAFKOU01	4617
GCF_017291075.1	ASM1729107v1	Vibrio vulnificus		Vv21					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5108874	Contig	2021-03-07	JAFKOV01	4417
GCF_017291135.1	ASM1729113v1	Vibrio vulnificus		Vv24					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5234051	Contig	2021-03-07	JAFKOT01	4659
GCF_017291155.1	ASM1729115v1	Vibrio vulnificus		Vv20					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5134219	Contig	2021-03-07	JAFKOW01	4507
GCF_017291165.1	ASM1729116v1	Vibrio vulnificus		Vv17					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5184656	Contig	2021-03-07	JAFKOY01	4533
GCF_017291175.1	ASM1729117v1	Vibrio vulnificus		Vv8					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5050745	Contig	2021-03-07	JAFKPD01	4365
GCF_017291195.1	ASM1729119v1	Vibrio vulnificus		Vv16					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5307440	Contig	2021-03-07	JAFKOZ01	4653
GCF_017291205.1	ASM1729120v1	Vibrio vulnificus		Vv19					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5097888	Contig	2021-03-07	JAFKOX01	4407
GCF_017291255.1	ASM1729125v1	Vibrio vulnificus		Vv10					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5122753	Contig	2021-03-07	JAFKPB01	4456
GCF_017291275.1	ASM1729127v1	Vibrio vulnificus		Vv2					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5037400	Contig	2021-03-07	JAFKPE01	4315
GCF_017291295.1	ASM1729129v1	Vibrio vulnificus		Vv15					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5314265	Contig	2021-03-07	JAFKPA01	4492
GCF_017291305.1	ASM1729130v1	Vibrio vulnificus		Vv9					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5125507	Contig	2021-03-07	JAFKPC01	4472
GCF_017291335.1	ASM1729133v1	Vibrio vulnificus		Vv1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5050474	Contig	2021-03-07	JAFKPF01	4336
GCF_017313425.1	ASM1731342v1	Vibrio sp. Vb2736		Vb2736					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5360365	Contig	2021-03-09	JAFLNP01	4749
GCF_017313445.1	ASM1731344v1	Vibrio alginolyticus		Vb2564					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5540169	Contig	2021-03-09	JAFLNQ01	4972
GCF_017313465.1	ASM1731346v1	Vibrio sp. Vb2880		Vb2880					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5341629	Contig	2021-03-09	JAFLNO01	5159
GCF_017313485.1	ASM1731348v1	Vibrio parahaemolyticus		Vb2511					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5474294	Contig	2021-03-09	JAFLNR01	4813
GCF_017313505.1	ASM1731350v1	Vibrio sp. Vb2424		Vb2424					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5327684	Contig	2021-03-09	JAFLNT01	4715
GCF_017313525.1	ASM1731352v1	Vibrio parahaemolyticus		Vb2477					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5762605	Contig	2021-03-09	JAFLNS01	5351
GCF_017313545.1	ASM1731354v1	Vibrio parahaemolyticus		Vb2153					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5270270	Contig	2021-03-09	JAFLNW01	4692
GCF_017313565.1	ASM1731356v1	Vibrio parahaemolyticus		Vb2225					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5456351	Contig	2021-03-09	JAFLNU01	4969
GCF_017313585.1	ASM1731358v1	Vibrio parahaemolyticus		Vb2188					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5359286	Contig	2021-03-09	JAFLNV01	5028
GCF_017313595.1	ASM1731359v1	Vibrio parahaemolyticus		Vb1382					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5293871	Contig	2021-03-09	JAFLNY01	4692
GCF_017313625.1	ASM1731362v1	Vibrio alginolyticus		Vb2145					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5509932	Contig	2021-03-09	JAFLNX01	5122
GCF_017313645.1	ASM1731364v1	Vibrio sp. Vb0877		Vb0877					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6057133	Contig	2021-03-09	JAFLOC01	5458
GCF_017313655.1	ASM1731365v1	Vibrio parahaemolyticus		Vb1207					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5414466	Contig	2021-03-09	JAFLNZ01	4798
GCF_017313685.1	ASM1731368v1	Vibrio parahaemolyticus		Vb0915					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5310962	Contig	2021-03-09	JAFLOB01	4686
GCF_017313705.1	ASM1731370v1	Vibrio alginolyticus		Vb1165					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5341523	Contig	2021-03-09	JAFLOA01	4738
GCF_017313725.1	ASM1731372v1	Vibrio sp. Vb0592		Vb0592					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5458535	Contig	2021-03-09	JAFLOF01	4865
GCF_017313735.1	ASM1731373v1	Vibrio parahaemolyticus		Vb0825					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5496897	Contig	2021-03-09	JAFLOE01	4833
GCF_017313825.1	ASM1731382v1	Vibrio parahaemolyticus		Vb0849					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5691081	Contig	2021-03-09	JAFLOD01	5184
GCF_017426745.1	ASM1742674v1	Vibrio cholerae		DL2111					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4119702	Contig	2021-03-18	MSSN01	3591
GCF_017426765.1	ASM1742676v1	Vibrio cholerae		DL2112					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4118072	Contig	2021-03-18	MSSO01	3600
GCF_017426785.1	ASM1742678v1	Vibrio cholerae		DL2114					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4113495	Contig	2021-03-18	MSSQ01	3592
